i,j,head,kper,kstp
3,31,11.066852569580078,1,1
3,32,11.022977828979492,1,1
3,33,10.926556587219238,1,1
3,34,10.819161415100098,1,1
3,35,10.631392478942871,1,1
3,36,10.502490043640137,1,1
3,37,10.357418060302734,1,1
3,38,10.231037139892578,1,1
3,39,10.158904075622559,1,1
3,40,10.141115188598633,1,1
3,41,10.116742134094238,1,1
3,42,10.155977249145508,1,1
3,43,10.180814743041992,1,1
3,44,10.241047859191895,1,1
3,45,10.144852638244629,1,1
3,46,10.600123405456543,1,1
3,47,10.28604507446289,1,1
3,48,9.909059524536133,1,1
3,49,9.926440238952637,1,1
3,50,9.820100784301758,1,1
3,51,9.940465927124023,1,1
3,52,9.84947395324707,1,1
3,53,9.799783706665039,1,1
3,54,9.849977493286133,1,1
3,55,9.784342765808105,1,1
3,56,9.80927848815918,1,1
4,0,9.263362884521484,1,1
4,1,9.765378952026367,1,1
4,2,10.192416191101074,1,1
4,3,10.447505950927734,1,1
4,4,10.500099182128906,1,1
4,5,8.956294059753418,1,1
4,6,10.261150360107422,1,1
4,7,10.48532485961914,1,1
4,8,10.597526550292969,1,1
4,9,10.615306854248047,1,1
4,10,10.70156192779541,1,1
4,11,10.711288452148438,1,1
4,12,10.687212944030762,1,1
4,13,10.814929962158203,1,1
4,14,10.85662841796875,1,1
4,15,10.846648216247559,1,1
4,16,10.844738960266113,1,1
4,17,10.87173080444336,1,1
4,18,10.924917221069336,1,1
4,19,10.93538761138916,1,1
4,20,10.986934661865234,1,1
4,21,11.040894508361816,1,1
4,22,10.990273475646973,1,1
4,23,10.936137199401855,1,1
4,24,10.899582862854004,1,1
4,25,10.916574478149414,1,1
4,26,11.06961441040039,1,1
4,27,10.923617362976074,1,1
4,28,11.020998001098633,1,1
4,29,11.064006805419922,1,1
4,30,10.989190101623535,1,1
4,31,10.915681838989258,1,1
4,32,11.031057357788086,1,1
4,33,10.973569869995117,1,1
4,34,10.712552070617676,1,1
4,35,10.69987964630127,1,1
4,36,10.515164375305176,1,1
4,37,10.361871719360352,1,1
4,38,10.231294631958008,1,1
4,39,10.12730884552002,1,1
4,40,10.096110343933105,1,1
4,41,10.133763313293457,1,1
4,42,10.067900657653809,1,1
4,43,10.119709968566895,1,1
4,44,10.155441284179688,1,1
4,45,10.415057182312012,1,1
4,46,10.830167770385742,1,1
4,47,10.002936363220215,1,1
4,48,9.900982856750488,1,1
4,49,9.83445930480957,1,1
4,50,9.822586059570312,1,1
4,51,9.86544132232666,1,1
4,52,9.770257949829102,1,1
4,53,9.705842971801758,1,1
4,54,9.750929832458496,1,1
4,55,9.749537467956543,1,1
4,56,9.80078125,1,1
5,0,8.993439674377441,1,1
5,1,9.385156631469727,1,1
5,2,10.15766429901123,1,1
5,3,10.254945755004883,1,1
5,4,10.667901039123535,1,1
5,5,9.770968437194824,1,1
5,6,9.592613220214844,1,1
5,7,10.27295207977295,1,1
5,8,10.507484436035156,1,1
5,9,10.540852546691895,1,1
5,10,10.596147537231445,1,1
5,11,10.693147659301758,1,1
5,12,10.704529762268066,1,1
5,13,10.78153133392334,1,1
5,14,10.785694122314453,1,1
5,15,10.73335075378418,1,1
5,16,10.728898048400879,1,1
5,17,10.767681121826172,1,1
5,18,10.75771713256836,1,1
5,19,10.852401733398438,1,1
5,20,10.91391372680664,1,1
5,21,10.97706413269043,1,1
5,22,10.99979019165039,1,1
5,23,10.935745239257812,1,1
5,24,10.852702140808105,1,1
5,25,10.810683250427246,1,1
5,26,10.870054244995117,1,1
5,27,11.078116416931152,1,1
5,28,10.965140342712402,1,1
5,29,10.946566581726074,1,1
5,30,11.026241302490234,1,1
5,31,11.082001686096191,1,1
5,32,11.282312393188477,1,1
5,33,10.909952163696289,1,1
5,34,10.681686401367188,1,1
5,35,10.649417877197266,1,1
5,36,10.530574798583984,1,1
5,37,10.427205085754395,1,1
5,38,10.2857666015625,1,1
5,39,10.167678833007812,1,1
5,40,10.163052558898926,1,1
5,41,10.061419486999512,1,1
5,42,10.007375717163086,1,1
5,43,10.053601264953613,1,1
5,44,10.164948463439941,1,1
5,45,10.686995506286621,1,1
5,46,10.633626937866211,1,1
5,47,9.954874992370605,1,1
5,48,9.888097763061523,1,1
5,49,9.792485237121582,1,1
5,50,9.825313568115234,1,1
5,51,9.780679702758789,1,1
5,52,9.840510368347168,1,1
5,53,9.607796669006348,1,1
5,54,9.618121147155762,1,1
5,55,9.731179237365723,1,1
5,56,9.675328254699707,1,1
6,0,9.04886245727539,1,1
6,1,8.97095012664795,1,1
6,2,9.923567771911621,1,1
