kper,kstp,time,k,i,j,AWq
4,46,100.0,0,43,5,-5.891624135799475
4,46,100.0,0,43,6,-5.817561446504328
4,46,100.0,0,44,3,-5.687206376267568
4,46,100.0,0,44,4,-5.730329862311919
4,47,101.0,0,10,55,-107.63661830584681
4,47,101.0,0,11,54,-139.02584635033088
4,47,101.0,0,12,9,-93.31820892429926
4,47,101.0,0,12,53,-48.89422918421644
4,47,101.0,0,13,9,-111.25700200145843
4,47,101.0,0,13,52,-225.1519097114724
4,47,101.0,0,14,10,-82.50791662397671
4,47,101.0,0,14,11,-111.3869112746629
4,47,101.0,0,14,12,-65.51702716751322
4,47,101.0,0,14,13,-49.51723849702728
4,47,101.0,0,14,14,-72.46634692996793
4,47,101.0,0,14,15,-53.64055610992682
4,47,101.0,0,14,52,-92.32171087168172
4,47,101.0,0,15,16,-52.89880588880624
4,47,101.0,0,15,45,-57.82888515006016
4,47,101.0,0,15,46,-51.893739090937174
4,47,101.0,0,15,47,-49.929109603864276
4,47,101.0,0,15,48,-117.59994726582056
4,47,101.0,0,15,49,-240.59513598876924
4,47,101.0,0,15,50,-115.27992146049371
4,47,101.0,0,15,51,-46.17393667461283
4,47,101.0,0,16,17,-141.98797202484525
4,47,101.0,0,16,18,-65.60832500586821
4,47,101.0,0,16,45,-50.675664644768176
4,47,101.0,0,16,51,-86.94009478571161
4,47,101.0,0,17,19,-117.65272887123615
4,47,101.0,0,17,44,-221.81491155989818
4,47,101.0,0,18,20,-139.83217173647859
4,47,101.0,0,18,45,-60.51589493319045
4,47,101.0,0,19,21,-105.30262739598072
4,47,101.0,0,19,42,-57.50156870147612
4,47,101.0,0,19,43,-46.288452340576214
4,47,101.0,0,19,44,-93.09053342830555
4,47,101.0,0,20,3,-27.55846999362211
4,47,101.0,0,20,22,-84.4439356275634
4,47,101.0,0,20,42,-45.75595881941683
4,47,101.0,0,21,3,-25.481786490783634
4,47,101.0,0,21,4,-27.375357736528144
4,47,101.0,0,21,23,-126.26474651170315
4,47,101.0,0,21,24,-45.75041999907853
4,47,101.0,0,21,41,-226.86203384350256
4,47,101.0,0,22,3,-22.70937143947674
4,47,101.0,0,22,4,-24.235913605170936
4,47,101.0,0,22,25,-102.91962444553258
4,47,101.0,0,22,38,-42.62369223968233
4,47,101.0,0,22,39,-40.13840713904665
4,47,101.0,0,22,40,-185.4587642496126
4,47,101.0,0,23,2,-17.44908181940741
4,47,101.0,0,23,3,-19.424199534265426
4,47,101.0,0,23,4,-21.132864701304698
4,47,101.0,0,23,5,-23.22212444548302
4,47,101.0,0,23,26,-135.11310514265426
4,47,101.0,0,23,37,-41.53141429301502
4,47,101.0,0,24,2,-16.137892388889554
4,47,101.0,0,24,3,-17.2007209413365
4,47,101.0,0,24,4,-18.55699102197991
4,47,101.0,0,24,5,-20.18785572930267
4,47,101.0,0,24,6,-22.0814773560802
4,47,101.0,0,24,7,-24.11713131426984
4,47,101.0,0,24,27,-117.74670906499057
4,47,101.0,0,24,28,-37.8053217831507
4,47,101.0,0,24,35,-38.78024311221429
4,47,101.0,0,24,36,-39.06175064186937
4,47,101.0,0,25,1,-13.239765702297973
4,47,101.0,0,25,2,-14.339852318393696
4,47,101.0,0,25,3,-15.330639213489007
4,47,101.0,0,25,4,-16.443354844779833
4,47,101.0,0,25,5,-17.735697007212707
4,47,101.0,0,25,6,-19.217023463270834
4,47,101.0,0,25,7,-20.87116861143977
4,47,101.0,0,25,8,-22.73818188011967
4,47,101.0,0,25,9,-24.681670279031778
4,47,101.0,0,25,10,-26.856489968737606
