kper,kstp,k,i,j,SPq
3,1,0,33,32,-69.76215070564967
3,1,0,33,33,-65.46755088214377
3,1,0,34,30,-82.12863390441714
3,1,0,34,31,-70.4115727577065
3,1,0,34,33,-58.29130827674737
3,1,0,35,33,-60.684442890511264
3,1,0,36,32,-71.31444832302623
3,1,0,36,33,-69.0412183492823
3,1,0,37,32,-89.96699889487093
4,1,0,32,30,-156.50274004805317
4,1,0,33,30,-127.02584880712357
4,1,0,33,31,-65.91225405199157
4,1,0,33,32,-71.99119939285276
4,1,0,33,33,-67.69664861914555
4,1,0,34,30,-84.37354462867745
4,1,0,34,31,-72.6582233362567
4,1,0,34,33,-60.550417681948375
4,1,0,35,33,-62.95250656834355
4,1,0,36,32,-73.58101672342946
4,1,0,36,33,-71.31084585323845
4,1,0,37,32,-92.23392625951328
4,2,0,32,30,-156.65567576529656
4,2,0,33,30,-127.14650491947828
4,2,0,33,31,-66.02286847656455
4,2,0,33,32,-72.11688787119374
4,2,0,33,33,-67.83005304630876
4,2,0,34,30,-84.51436815666841
4,2,0,34,31,-72.79505579291776
4,2,0,34,33,-60.69986465703482
4,2,0,35,33,-63.111810526758745
4,2,0,36,32,-73.73654545533748
4,2,0,36,33,-71.47348754112033
4,2,0,37,32,-92.39121457938973
4,3,0,32,30,-156.79971660112403
4,3,0,33,30,-127.26077692804654
4,3,0,33,31,-66.12571902487889
4,3,0,33,32,-72.23624022556248
4,3,0,33,33,-67.96284702671164
4,3,0,34,30,-84.64837856227098
4,3,0,34,31,-72.92070023173869
4,3,0,34,33,-60.839493707870474
4,3,0,35,33,-63.26115051903503
4,3,0,36,32,-73.87972616407137
4,3,0,36,33,-71.62781481107174
4,3,0,37,32,-92.53768416323794
4,4,0,32,30,-156.9479716221
4,4,0,33,30,-127.38247574219884
4,4,0,33,31,-66.23491542442935
4,4,0,33,32,-72.36148814208036
4,4,0,33,33,-68.10548838562408
4,4,0,34,30,-84.78748222718559
4,4,0,34,31,-73.048518520279
4,4,0,34,33,-60.983076745617154
4,4,0,35,33,-63.41373595461005
4,4,0,36,32,-74.0238942691459
4,4,0,36,33,-71.78673094604744
4,4,0,37,32,-92.68641246586492
4,5,0,32,30,-157.40425425181718
4,5,0,33,30,-127.81193395079663
4,5,0,33,31,-66.65040443933663
4,5,0,33,32,-72.79363549199718
4,5,0,33,33,-68.55803781585894
4,5,0,34,30,-85.23361828883935
4,5,0,34,31,-73.48146422562877
4,5,0,34,33,-61.434633278528736
4,5,0,35,33,-63.874010213786846
4,5,0,36,32,-74.47348414996395
4,5,0,36,33,-72.2544722800767
4,5,0,37,32,-93.14170570372198
4,6,0,32,30,-157.86470932787847
4,6,0,33,30,-128.24451455927942
4,6,0,33,31,-67.06765513397647
4,6,0,33,32,-73.2287990745375
4,6,0,33,33,-69.01656899973489
4,6,0,34,30,-85.68270207689147
4,6,0,34,31,-73.91563383691357
4,6,0,34,33,-61.890300535837696
4,6,0,35,33,-64.33812084524982
4,6,0,36,32,-74.92459952873355
4,6,0,36,33,-72.72704322373897
4,6,0,37,32,-93.59970564194532
4,7,0,32,30,-158.2344224782878
4,7,0,33,30,-128.58599678511553
4,7,0,33,31,-67.39273754977296
4,7,0,33,32,-73.57272524931489
4,7,0,33,33,-69.38669708143789
4,7,0,34,30,-86.03995604254112
4,7,0,34,31,-74.25641317836607
4,7,0,34,33,-62.255213101447566
4,7,0,35,33,-64.71102030013799
