kper,kstp,k,i,j,PWq
2,5,0,35,37,-12.338879386975341
2,5,0,36,37,-12.49529104421487
2,5,0,37,37,-12.663040398137033
2,5,0,38,37,-12.834772970530251
2,5,0,39,38,-13.029722100822264
2,5,0,40,38,-13.0886428864262
2,5,0,41,38,-13.15506305033601
2,5,0,42,38,-13.212274132425224
2,5,0,43,38,-13.253864708976897
2,5,0,44,38,-13.276883893669936
2,5,0,45,37,-13.334297587928548
2,5,0,45,38,-13.281462235989276
2,6,0,22,40,-8.501640670549827
2,6,0,23,40,-8.557167991610273
2,6,0,24,39,-8.790522108558891
2,6,0,25,39,-8.892426927116883
2,6,0,26,38,-9.159114322595109
2,6,0,27,38,-9.26829523828448
2,6,0,28,38,-9.22155358070701
2,6,0,29,37,-9.97630585837498
2,6,0,30,37,-10.311392427071345
2,6,0,31,37,-10.476186274987775
2,6,0,32,36,-10.919526265720556
2,6,0,33,36,-11.201043268676113
2,6,0,34,37,-11.6093382978455
2,6,0,35,37,-11.73617495584828
2,6,0,36,37,-11.90273179323891
2,6,0,37,37,-12.082040861665847
2,6,0,38,37,-12.266336492082603
2,6,0,39,38,-12.48565693592332
2,6,0,40,38,-12.550220699535183
2,6,0,41,38,-12.623799424043103
2,6,0,42,38,-12.6881855755379
2,6,0,43,38,-12.736221237246271
2,6,0,44,38,-12.764373162782316
2,6,0,45,37,-12.822698896247609
2,6,0,45,38,-12.772088712474051
2,7,0,22,40,-7.83940962012144
2,7,0,23,40,-7.898727285411129
2,7,0,24,39,-8.13615228317152
2,7,0,25,39,-8.239009837119378
2,7,0,26,38,-8.509833510564736
2,7,0,27,38,-8.62205556550871
2,7,0,28,38,-8.596295038269368
2,7,0,29,37,-9.345051735603633
2,7,0,30,37,-9.68464829539324
2,7,0,31,37,-9.851501581417882
2,7,0,32,36,-10.301337809673154
2,7,0,33,36,-10.590423165141715
2,7,0,34,37,-11.014387985833752
2,7,0,35,37,-11.145524907343226
2,7,0,36,37,-11.318216154490061
2,7,0,37,37,-11.504686117064848
2,7,0,38,37,-11.696937486859117
2,7,0,39,38,-11.933184085246133
2,7,0,40,38,-12.001574213872406
2,7,0,41,38,-12.080112869461292
2,7,0,42,38,-12.14958370854735
2,7,0,43,38,-12.20229744353862
2,7,0,44,38,-12.234280520315101
2,7,0,45,37,-12.292815572293348
2,7,0,45,38,-12.244430977540107
2,8,0,22,40,-7.244565992754166
2,8,0,23,40,-7.3064846895541145
2,8,0,24,39,-7.5451452530336995
2,8,0,25,39,-7.6478542856328025
2,8,0,26,38,-7.9193914604612985
2,8,0,27,38,-8.032947259253387
2,8,0,28,38,-8.024227124059394
2,8,0,29,37,-8.760193407375652
2,8,0,30,37,-9.099626552349019
2,8,0,31,37,-9.266255117437224
2,8,0,32,36,-9.71621054174835
2,8,0,33,36,-10.008039263383349
2,8,0,34,37,-10.439593383483878
2,8,0,35,37,-10.572689671928327
2,8,0,36,37,-10.74834861997159
2,8,0,37,37,-10.938466231200916
2,8,0,38,37,-11.134950281124098
2,8,0,39,38,-11.381983141882626
2,8,0,40,38,-11.45268478448649
2,8,0,41,38,-11.534332095857991
2,8,0,42,38,-11.607109698314527
2,8,0,43,38,-11.66298364856233
2,8,0,44,38,-11.697668657404538
2,8,0,45,37,-11.755828803320533
2,8,0,45,38,-11.709637311385428
2,9,0,22,40,-6.709170266382174
2,9,0,23,40,-6.772686251051286
2,9,0,24,39,-7.0103050278565675
2,9,0,25,39,-7.1120004784671425
2,9,0,26,38,-7.381620367491468
2,9,0,27,38,-7.495197195411285
2,9,0,28,38,-7.500318231893165
2,9,0,29,37,-8.218625906611159
2,9,0,30,37,-8.554424037415304
2,9,0,31,37,-8.719133409561138
2,9,0,32,36,-9.164457289893837
2,9,0,33,36,-9.455379453680532
2,9,0,34,37,-9.88833246476834
2,9,0,35,37,-10.021583148857697
2,9,0,36,37,-10.197751350734082
2,9,0,37,37,-10.38876905408334
2,9,0,38,37,-10.586552759425109
2,9,0,39,38,-10.8394529404162
2,9,0,40,38,-10.911248269100604
2,9,0,41,38,-10.994506401462164
2,9,0,42,38,-11.069142542113871
2,9,0,43,38,-11.126931678216799
2,9,0,44,38,-11.163385206199687
2,9,0,45,37,-11.220711141590288
2,9,0,45,38,-11.176656703965666
2,10,0,22,40,-6.226544094875357
2,10,0,23,40,-6.29082456542868
2,10,0,24,39,-6.525600467824477
2,10,0,25,39,-6.625613213993394
2,10,0,26,38,-6.891312602414599
2,10,0,27,38,-7.003906465200027
2,10,0,28,38,-7.020251673858096
2,10,0,29,37,-7.717488547857828
2,10,0,30,37,-8.047093719033539
2,10,0,31,37,-8.208638407748301
2,10,0,32,36,-8.645829689949661
2,10,0,33,36,-8.933109190438447
2,10,0,34,37,-9.362762467566133
2,10,0,35,37,-9.494795038873278
2,10,0,36,37,-9.669593551688878
2,10,0,37,37,-9.859400200718953
2,10,0,38,37,-10.056218042802412
2,10,0,39,38,-10.31112184704061
2,10,0,40,38,-10.383055433010986
2,10,0,41,38,-10.466743209465072
2,10,0,42,38,-10.542089421444098
2,10,0,43,38,-10.600800349905692
2,10,0,44,38,-10.63827208525116
2,10,0,45,37,-10.694417603286732
2,10,0,45,38,-10.652427333232485
2,11,0,22,40,-5.790942005708794
2,11,0,23,40,-5.855311589247677
2,11,0,24,39,-6.085865052774254
2,11,0,25,39,-6.1836874797208665
2,11,0,26,38,-6.4439724410741315
2,11,0,27,38,-6.554820013256202
2,11,0,28,38,-6.580233225008706
