kper,kstp,time,k,i,j,AWq
4,27,81.0,0,18,6,-1.4853449278677289
4,27,81.0,0,18,7,-1.7171727226145634
4,27,81.0,0,18,8,-2.007048848155563
4,27,81.0,0,19,0,-0.8462282499247138
4,27,81.0,0,19,1,-1.3199614729557894
4,27,81.0,0,19,9,-2.0589170691102368
4,27,81.0,0,19,10,-1.9635273610098238
4,27,81.0,0,19,11,-2.019482702994061
4,27,81.0,0,19,12,-2.277274965661995
4,27,81.0,0,20,0,-1.5150868800647785
4,27,81.0,0,20,13,-2.262560923885246
4,27,81.0,0,21,14,-2.0634032424038082
4,27,81.0,0,22,14,-1.8867627065596864
4,27,81.0,0,23,15,-1.7545280349991756
4,27,81.0,0,23,16,-1.759659186872078
4,27,81.0,0,23,17,-2.044912598247855
4,27,81.0,0,23,22,-3.0414718695873546
4,27,81.0,0,24,18,-2.3862369975548816
4,27,81.0,0,24,19,-2.49820342617236
4,27,81.0,0,24,20,-2.833750697995967
4,27,81.0,0,24,21,-3.490904889994802
4,28,82.0,0,0,25,-2.9503500454908362
4,28,82.0,0,0,26,-3.6742881181013445
4,28,82.0,0,1,24,-3.8797545096001045
4,28,82.0,0,2,22,-2.3337271367521453
4,28,82.0,0,2,23,-3.618266334672569
4,28,82.0,0,3,21,-2.1072216693123096
4,28,82.0,0,4,21,-2.715717088221055
4,28,82.0,0,5,20,-1.826771170795297
4,28,82.0,0,6,20,-1.9916501647688847
4,28,82.0,0,7,20,-2.3413134771198543
4,28,82.0,0,8,19,-1.5915049322305492
4,28,82.0,0,9,19,-1.7281621548899295
4,28,82.0,0,10,18,-1.3783213719697756
4,28,82.0,0,17,4,-0.7306181918767223
4,28,82.0,0,17,5,-0.9675778543734452
4,28,82.0,0,18,2,-1.0270452362604132
4,28,82.0,0,18,3,-1.13117996286595
4,28,82.0,0,18,4,-1.1446099752852135
4,28,82.0,0,18,5,-1.247963251165082
4,28,82.0,0,18,6,-1.4871212554750741
4,28,82.0,0,18,7,-1.7199831672376291
4,28,82.0,0,18,8,-2.0110584899224193
4,28,82.0,0,19,0,-0.8438709692950397
4,28,82.0,0,19,1,-1.3204876060726605
4,28,82.0,0,19,9,-2.0627185936853607
4,28,82.0,0,19,10,-1.966773029466772
4,28,82.0,0,19,11,-2.022960399226406
4,28,82.0,0,19,12,-2.2818563251468262
4,28,82.0,0,20,0,-1.5157662504673084
4,28,82.0,0,20,13,-2.2678077325615575
4,28,82.0,0,21,14,-2.067825747717542
4,28,82.0,0,22,14,-1.8902855789109978
4,28,82.0,0,23,15,-1.7569008869754938
4,28,82.0,0,23,16,-1.7618867852581417
4,28,82.0,0,23,17,-2.04831208882203
4,28,82.0,0,23,22,-3.0464432705071545
4,28,82.0,0,24,18,-2.3890037787514444
4,28,82.0,0,24,19,-2.500906982570548
4,28,82.0,0,24,20,-2.836975987573915
4,28,82.0,0,24,21,-3.495175471372896
4,29,83.0,0,0,25,-2.969485520135038
4,29,83.0,0,0,26,-3.6975130005749293
4,29,83.0,0,1,24,-3.901752539752181
4,29,83.0,0,2,22,-2.347935311348124
4,29,83.0,0,2,23,-3.6388612632045465
4,29,83.0,0,3,21,-2.1187998704920687
4,29,83.0,0,4,21,-2.7304795392308847
4,29,83.0,0,5,20,-1.8365193177374408
4,29,83.0,0,6,20,-2.0030430979035145
4,29,83.0,0,7,20,-2.355691748487658
4,29,83.0,0,8,19,-1.5993760418637635
4,29,83.0,0,9,19,-1.738531514658689
4,29,83.0,0,10,18,-1.3860923822108902
4,29,83.0,0,17,4,-0.7318658475742552
4,29,83.0,0,17,5,-0.9706722072415488
4,29,83.0,0,18,2,-1.0300638776672386
4,29,83.0,0,18,3,-1.1346853530838885
4,29,83.0,0,18,4,-1.1480794621709265
4,29,83.0,0,18,5,-1.2520825306171446
4,29,83.0,0,18,6,-1.4929115551154553
4,29,83.0,0,18,7,-1.7268469944467313
4,29,83.0,0,18,8,-2.019119958861566
4,29,83.0,0,19,0,-0.845355395850504
4,29,83.0,0,19,1,-1.3247866256767082
4,29,83.0,0,19,9,-2.070373754469543
4,29,83.0,0,19,10,-1.9738626208940957
4,29,83.0,0,19,11,-2.0302418171613112
4,29,83.0,0,19,12,-2.2901804772508854
4,29,83.0,0,20,0,-1.52007763232357
4,29,83.0,0,20,13,-2.276604940973492
4,29,83.0,0,21,14,-2.0756893629274487
4,29,83.0,0,22,14,-1.8971404840687711
4,29,83.0,0,23,15,-1.7625074434529466
4,29,83.0,0,23,16,-1.7673660233169883
4,29,83.0,0,23,17,-2.0549404688583834
4,29,83.0,0,23,22,-3.054624970957697
4,29,83.0,0,24,18,-2.394894304794896
4,29,83.0,0,24,19,-2.5067478765912483
