kper,kstp,k,i,j,CONFq
1,1,0,4,37,4.021273518761776
1,1,0,4,38,4.026226651319812
1,1,0,4,39,4.031301550478183
1,1,0,4,40,4.036484653536327
1,1,0,4,41,4.041778166732552
1,1,0,4,42,4.047193416885014
1,1,0,4,43,4.052676531496372
1,1,0,4,44,4.057877730592821
1,1,0,4,45,4.062458183981853
1,1,0,4,46,4.065531061793598
1,1,0,4,47,4.070554838928857
1,1,0,4,48,4.0756470874221815
1,1,0,4,49,4.081333689105133
1,1,0,5,16,3.983034312221278
1,1,0,5,17,3.9822111463744925
1,1,0,5,18,3.9808750285538625
1,1,0,5,19,3.9802576205966
1,1,0,5,20,3.9799633786698987
1,1,0,5,21,3.9799097595185486
1,1,0,5,22,3.9802561008747883
1,1,0,5,23,3.980978035318685
1,1,0,5,24,3.982050308152532
1,1,0,5,25,3.9834814025123766
1,1,0,5,26,3.985274093577937
1,1,0,5,27,3.9874225155691576
1,1,0,5,28,3.98991988931742
1,1,0,5,29,3.9927631568873583
1,1,0,5,30,3.995945075058602
1,1,0,5,31,3.9994516751271707
1,1,0,5,32,4.003263574532152
1,1,0,5,33,4.007358069911053
1,1,0,5,34,4.011710831626816
1,1,0,5,35,4.016297082186597
1,1,0,5,36,4.021092451217209
1,1,0,5,37,4.026073722340701
1,1,0,5,38,4.03121967950743
1,1,0,5,39,4.036512141778294
1,1,0,5,40,4.04193666443142
1,1,0,5,41,4.047480467587247
1,1,0,5,42,4.05312144434331
1,1,0,5,43,4.058803877010995
1,1,0,5,44,4.064448903769913
1,1,0,5,45,4.070277554191351
1,1,0,5,46,4.073082752193585
1,1,0,5,47,4.077280856621439
1,1,0,5,48,4.082308359498773
1,1,0,5,49,4.088334046066839
1,1,0,5,50,4.096187900932183
1,1,0,5,51,4.100621900794769
1,1,0,6,15,3.986799137941725
1,1,0,6,16,3.9851646800550213
1,1,0,6,17,3.9840312454575635
1,1,0,6,18,3.983096575602408
1,1,0,6,19,3.98258351409231
1,1,0,6,20,3.9824371814430624
1,1,0,6,21,3.982628204044076
1,1,0,6,22,3.98318995799867
1,1,0,6,23,3.9841224029785867
1,1,0,6,24,3.985417697473949
1,1,0,6,25,3.9870743864382288
1,1,0,6,26,3.989090178063041
1,1,0,6,27,3.991459545132983
1,1,0,6,28,3.994175343368765
1,1,0,6,29,3.9972298766509713
1,1,0,6,30,4.000612775583333
1,1,0,6,31,4.004309882458255
1,1,0,6,32,4.0083036794017115
1,1,0,6,33,4.012574420448249
1,1,0,6,34,4.01710134750687
1,1,0,6,35,4.0218637592829385
1,1,0,6,36,4.026841891170969
1,1,0,6,37,4.032017600448768
1,1,0,6,38,4.037374809511759
1,1,0,6,39,4.042899485953809
1,1,0,6,40,4.048578411947842
1,1,0,6,41,4.054394873012518
1,1,0,6,42,4.060317645928146
1,1,0,6,43,4.066278695031928
1,1,0,6,44,4.072146965916904
1,1,0,6,45,4.077859850230281
1,1,0,6,46,4.080552690561651
1,1,0,6,47,4.084489208248538
1,1,0,6,48,4.089284264435253
1,1,0,6,49,4.094819080656649
1,1,0,6,50,4.100921733191019
1,1,0,6,51,4.106370941816872
1,1,0,6,52,4.112039671370946
1,1,0,7,14,3.9919767214601265
1,1,0,7,15,3.989741048803774
1,1,0,7,16,3.98810162718879
1,1,0,7,17,3.9869603935862816
1,1,0,7,18,3.9862045593366844
1,1,0,7,19,3.9858510431908627
1,1,0,7,20,3.9858823266096444
1,1,0,7,21,3.986284651708134
1,1,0,7,22,3.9870615847085205
1,1,0,7,23,3.98821202007254
1,1,0,7,24,3.9897315507954367
1,1,0,7,25,3.991616095023126
1,1,0,7,26,3.9938606361548974
1,1,0,7,27,3.996458239199457
1,1,0,7,28,3.999400232347801
1,1,0,7,29,4.002676390842401
1,1,0,7,30,4.0062743807667385
1,1,0,7,31,4.010179474125435
1,1,0,7,32,4.0143749050620094
1,1,0,7,33,4.018842676517814
1,1,0,7,34,4.023564552251635
1,1,0,7,35,4.0285230547419655
1,1,0,7,36,4.033702345722967
1,1,0,7,37,4.039088875170503
1,1,0,7,38,4.044671666192443
1,1,0,7,39,4.05044202924109
1,1,0,7,40,4.056392299183649
1,1,0,7,41,4.062512900174257
1,1,0,7,42,4.068785868335462
1,1,0,7,43,4.075157085014448
1,1,0,7,44,4.081311718460338
1,1,0,7,45,4.084639694856554
1,1,0,7,46,4.088090931264809
1,1,0,7,47,4.0921512428804565
1,1,0,7,48,4.096832963616322
1,1,0,7,49,4.102049519660071
1,1,0,7,50,4.107623318693186
1,1,0,7,51,4.113214973464384
1,1,0,7,52,4.119024203269271
1,1,0,7,53,4.125234031861179
1,1,0,8,13,3.9982759754726125
1,1,0,8,14,3.9955201922640544
1,1,0,8,15,3.993394823920397
1,1,0,8,16,3.9918487830957865
1,1,0,8,17,3.9908118319151917
1,1,0,8,18,3.9902180158601777
1,1,0,8,19,3.9900419345646547
1,1,0,8,20,3.990264930955389
1,1,0,8,21,3.990875129450888
1,1,0,8,22,3.9918682561035688
1,1,0,8,23,3.9932408762486844
1,1,0,8,24,3.9949885404546475
1,1,0,8,25,3.9971058966879607
1,1,0,8,26,3.999586188003672
1,1,0,8,27,4.002420824983819
1,1,0,8,28,4.0055993571881885
1,1,0,8,29,4.0091095597140605
